id,     name,                           size,   offset,   end,     privilege,              security,  crc
0,      OTP_MEMORY_CHECK_MARK,          60,     0x0,      0x3C,    OTP_READ_ONLY,         TRUE,      FALSE,
1,      OTP_EFUSE,                      4,      0x3C,     0x40,    OTP_READ_ONLY,         TRUE,      FALSE,
2,      OTP_AES_KEY,                    32,     0x40,     0x60,    OTP_READ_ONLY,         TRUE,      FALSE,
3,      OTP_MODEL_ID,                   4,      0x100,    0x104,   OTP_READ_ONLY,         TRUE,      FALSE,
4,      OTP_MODEL_KEY,                  16,     0x104,    0x114,   OTP_READ_ONLY,         TRUE,      FALSE,
5,      OTP_ARM_DEVICE_ID,              4,      0x114,    0x118,   OTP_READ_ONLY,         TRUE,      FALSE,
6,      OTP_DEVICE_ROOT_KEY,            16,     0x118,    0x128,   OTP_READ_ONLY,         TRUE,      FALSE,
7,      OTP_BL1_BOOT_PUBLIC_KEY_HASH,   32,     0x128,    0x148,   OTP_READ_ONLY,         TRUE,      FALSE,
8,      OTP_BL2_BOOT_PUBLIC_KEY_HASH,   32,     0x148,    0x168,   OTP_READ_ONLY,         TRUE,      FALSE,
9,      OTP_ARM_LCS,                    4,      0x168,    0x16C,   OTP_READ_ONLY,         TRUE,      FALSE,
10,     OTP_LOCK_CONTROL,               4,      0x17C,    0x180,   OTP_READ_ONLY,         TRUE,      FALSE,
11,     OTP_BL1_SECURITY_COUNTER,       4,      0x188,    0x18C,   OTP_READ_ONLY,         TRUE,      FALSE,
12,     OTP_SECURE_DEBUG_PK,            32,     0x1CC,    0x1EC,   OTP_READ_ONLY,         TRUE,      FALSE,
13,     OTP_BL2_SECURITY_COUNTER,       64,     0x228,    0x268,   OTP_READ_ONLY,         TRUE,      FALSE,
14,     OTP_HUK,                        32,     0x268,    0x288,   OTP_READ_ONLY,         TRUE,      FALSE,